QUESTION	ANSWER	CHOICES
यस्मिन् विमाने उपाविश्य रामः स्वपत्न्या भ्रात्रा च सह अयोध्यां प्रत्याजगाम तस्य विमानस्य किं नाम?	पुष्पकम्	
का राम-वनप्रस्थानाय भरत-राज्याभिषेकाय च कैकेयीं चोदयामास?	मन्थरा	
विश्वामित्रो यदा क्षत्रियः आसीत् तदा तस्य नाम किम्?	विश्वजित्	
विश्वामित्रस्य तपसो विघ्नः कस्याः अप्सरसः जज्ञे?	मेनकायाः	
देवासुरैः निर्मथित-क्षीरोदधेः योऽश्वो जातः तस्य किं नाम?	उच्चैःश्रवाः	
का सा राक्षसी या उदधेः उपरि प्लवन्तं हनूमन्तं निवार्य तस्य भक्षणे च मतिं चकार?	सुरसा	
आत्मनः पुत्रम् इच्छन् दशरथः केनेष्टिना याजयामास?	पुत्रेकामेष्ट्या	
विदेहाधिपतेः जनकस्य पुरोहितः कः?	शतानन्दः	
जनकस्य कनीयसो भ्रातुः नाम किम्?	कुशध्वजः	
कः स ऋषिः यः समुद्रान् अपिबत्?	अगस्त्यः	
कः स इभः यः इन्द्रं वहति?	ऐरावतः	
सीता-राम-विवाहस्य आचार्यः कः?	वसिष्ठः	
यस्य पुरी अमरावतीति श्रूयते स कः?	इन्द्रः	
क्षीरोदधेः उत्पन्नं किं नाम विषम्?	हालाहलम्	
येन पर्वतेन देवासुराः क्षीरोदं अमथ्नन् कः स पर्वतः?	मन्दरः	
सूर्याचन्द्रमसौ कदाचित् काले को ग्राहयति?	राहुः	
इन्द्रस्य स्यन्दनस्य क्षत्ता कः?	मातलिः	
अमरावत्यां प्रसिद्धं वनं किम्?	नन्दनम्	
रावणस्य भ्रता को यो रामम् आश्रयत?	विभीषणः	
को राक्षसः युगपद् षण्मासाः यावत् स्वपिति?	कुम्भकर्णः	
रावणाज्ञाम् अनुसृत्य को राक्षसः सुवर्ण-हरिणो भुत्वा सीतायाः परितः चचाल?	मारीचः	
को ब्रह्मर्षिः यः क्षात्रे जातः सन् तपः प्रभावात् ब्राह्मं जगाम?	विश्वामित्रः	
को आसीत् यं सशरीरं विश्वामित्रः स्वर्लोकं प्रापयांचकार?	त्रिशङ्कुः	
कः स्वकीय-पितुः ययातेः जरां गृहीत्वा तस्मै आत्मनो यौवनम् ददे?	पुरुः	
अश्विनौ पुरा सोमभागिनौ नास्ताम् । ततः कः ऋषिः तौ सोमपायिनै चकार यतो स जरां त्यक्त्वा ताभ्यां यौवनं प्राप्नोत्?	च्यवनः	
आयोध्यायाः को राजपुत्रो बालान् गृहीत्वा नद्यां पातयति स्म?	असमञ्जः	
अम्ब्रीषस्य यज्ञे को वारुणो पशुः भूत्वा युपे अबध्यत यस्य स्तुतिभिः तुष्टेन वरुणेन च पाशैः यो अमुच्यत?	शुनःशेपः	
सगरेण सङ्कल्पित-हयमेधम् अवरोद्धुम् अश्वं को जहार?	इन्द्रः	
को रावणं बबन्ध यश्च पुनः तं पुलस्त्य-वचनात् मुमोच?	कार्तवीर्यार्जुनः	
रामायणे कति श्लोकाः सन्ति?	चतुर्विंशतिसहस्रम्	
कति वर्ष-पर्याप्तं लक्ष्मणो निद्रां त्यक्त्वा ब्रह्मचर्यम् अपालयत्?	चतुर्दश	
लङ्कां प्राप्तुम् उदधिः कति योजन-विस्तीर्णः आसीत्?	शत	
कति वर्षाणि कालं रामस्य वने प्रवासम् अभवत्?	चतुर्दश	
कार्तवीर्याजुनस्य कति भुजानि आसन्?	सहस्रम्	
दशरथस्य कति राज्ञ्यः आसन्?	तिस्रः	
रावणस्य कति शिरांसि आसन्?	दश	
भार्गवरामः कतिवारं पृथिवीं निःक्षत्रियां चकार?	एकविंशति	
आदित्यानां का सङ्ख्या?	द्वादश	
रुद्राणां का सङ्ख्या?	एकादश	
वसूनां का सङ्ख्या?	अष्टौ	
जनस्थाने खर-दूषण-सहिताः कति राक्षसाः रामेण अहन्यन्त?	चतुर्दशसहस्रम्	
कच्चिद् यूयं सीताम् अपश्यतेति को द्रुमान् गुल्मांश्च पुष्पाणिच लताश्च पप्रच्छ?	रामः	
किं दुराचरितं मया त्वयि इतः पूर्वं येनाऽहं त्वद् शरेणाऽपविद्धोऽस्मि? यदि त्वया उक्तश्चेत् रावणं निर्जित्य त्वच्चरणयोः स्थापयेयम्- इति को म्रियन् रामं प्रत्यभाषत?	वालिः	
" ""लक्ष्मण! अयं समुद्रोऽस्माभिः विनीतवद्भिः त्रयेभ्यो दिनेभ्यः पथ्यर्थेऽत्यन्तोऽभ्यर्थितोपि न प्रतिस्पन्दते। सद्य एनम् एकेन मे शरेणाविध्य शोषयामि किन्तु विना भीतिः न प्रीतिः खल्विहेष्यति"" इति कोऽब्रवीत्?"	रामः	
" ""कुलपांसिनि! त्वं रामं वने प्रस्थाप्य महत् पापं अकरोः मम पितुश्च हन्ताऽसि। एवं मामपि पापभाक् चकार। न त्वं मातेति बोधामर्हसि"" इति क उवाच?"	भरतः	
" ""अहं स्वेच्छारूपधृत् रक्षःस्त्री, रावणस्य च स्वसा"" इति रामं का स्वयम् आत्मानं न्यवेदयत्?"	शूर्पणखा	
 रावणाय मनुष्य-वानरान् विहाय देवासुरगन्धर्वोरगयक्षराक्षसादिभिः अवध्यत्वं को वरं ददौ?	ब्रह्मा	
क ऐक्ष्वाकु-राजा आसीत् यं वसिष्ठपुत्राः चण्डालो भवेति शशाप?	त्रिशङ्कुः	
निषाद! त्वं कदापि प्रतिष्ठां मा गमः यतो त्वं क्रौञ्च-मिथुनयोः एकम् अवधीः यः कामे मोहितः आसीत् इति व्याधं क ऋषिः शशप?	वाल्मीकिः	
यं धनुः ज्यां सन्धत्स्वेति दाशरथि-रामाय भार्गव-रामो ददौ तत् किं धनुः?	वैष्णवम्	
येनास्त्रेण रामो रावणम् अवधीत् तस्य किं नाम?	ब्रह्मास्त्रम्	
को देवः यं प्रीणयित्वा विश्वामित्रो दिव्यास्त्रान् प्राप्तवान्?	शिवः	
वाल्मीकेः आश्रमवासं कस्याः नद्यः तिरे वर्तेते?	तमसा	
किष्किन्धात् पलायितः सुग्रीवः कं पर्वतम् आश्रित्य न्यवसत्?	ऋष्यमूकम्	
कस्याः नद्यः तिरे पञ्चवटी अस्ति यत्र सह पत्न्या सह भ्रात्रा च रामोऽवसत्?	गोदावर्याः	
गुहो नम निषादाधिपतेः क्षेत्रं कत्र अवर्तत?	शृङ्गवेरपुरम्	
अगस्त्यः कान् पर्वतान् अवरुद्धवान्?	विन्ध्यः	
कस्मिन् अरण्ये जनस्थानः अवर्तत?	दण्डके	
रावणस्य माता का?	कैकसी	
भार्गवरामस्य पिता कः?	जमदग्निः	
